ID,Node FE,Node EC,Node CE,Node EF,Node FF,Node EE,Node F,Node E,Node C
1, 1500295.29703274, 3927935.25899056, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 15451438.45839144
2, 1200127.70099291, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1800154.87384082, 0.00000000
3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
4, 1500295.29703274, 3927935.25899056, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 15451438.45839144
5, 1200127.70099291, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1800154.87384082, 0.00000000
6, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
7, 1500295.29703274, 3927935.25899056, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 15451438.45839144
8, 1200127.70099291, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1800154.87384082, 0.00000000
9, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
10, 1500295.29703274, 3927935.25899056, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 15451438.45839144
11, 1200127.70099291, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1800154.87384082, 0.00000000
12, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
13, 1500295.29703274, 3927935.25899056, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 15451438.45839144
14, 1200127.70099291, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1800154.87384082, 0.00000000
15, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
16, 1500295.29703274, 3927935.25899056, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 15451438.45839144
17, 1200127.70099291, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 1800154.87384082, 0.00000000
18, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
