ID,Node FE,Node EC,Node CE,Node EF,Node FF,Node EE,Node F,Node E,Node C
1, 1087959.49632075, 3914941.79660941, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 18181366.00595684
2, 965962.42613032, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2336409.80582890, 0.00000000
3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
4, 1087959.49632075, 3914941.79660941, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 18181366.00595684
5, 965962.42613032, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2336409.80582890, 0.00000000
6, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
7, 1087959.49632075, 3914941.79660941, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 18181366.00595684
8, 965962.42613032, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2336409.80582890, 0.00000000
9, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
10, 1087959.49632075, 3914941.79660941, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 18181366.00595684
11, 965962.42613032, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2336409.80582890, 0.00000000
12, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
13, 1087959.49632075, 3914941.79660941, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 18181366.00595684
14, 965962.42613032, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2336409.80582890, 0.00000000
15, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
16, 1087959.49632075, 3914941.79660941, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 18181366.00595684
17, 965962.42613032, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 2336409.80582890, 0.00000000
18, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 450000.43816622, 0.00000000, 0.00000000
