ID,Node FE,Node EC,Node CE,Node EF,Node FF,Node EE,Node F,Node E,Node C
1, 604513.34280612, 3004617.58835319, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90013500155.01705900
2, 606002.56485434, 3006106.81040260, 39522.30632314, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90018000003.01730300
3, 607502.95606792, 3007596.03245202, 40490.87498178, 40490.72601362, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 90022500009.34239200
4, 607502.95606792, 8810.90849866, 5642.91185035, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 9022500068.94554520, 404899.93603272
5, 607502.95606792, 8810.90849866, 5642.91185035, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 9022500068.94554520, 404899.93603272
6, 609025.68561223, 9928.49480119, 6760.49886099, 6700.89242777, 0.00000000, 0.00000000, 0.00000000, 9027000011.00907900, 416075.76758893
7, 8125.77304289, 7449.52764027, 7766.32717056, 42621.51705572, 0.00000000, 0.00000000, 1831500002.20669750, 109185.09170611, 78026.80334589
8, 8125.77304289, 7449.52764027, 7766.32717056, 42621.51705572, 0.00000000, 0.00000000, 1831500002.20669750, 109185.09170611, 78026.80334589
9, 8125.77304289, 7449.52764027, 7766.32717056, 42621.51705572, 0.00000000, 0.00000000, 1831500002.20669750, 109185.09170611, 78026.80334589
10, 7052.89019331, 9928.49480119, 6760.49886099, 6700.89242777, 0.00000000, 0.00000000, 1827000013.95524120, 0.00000000, 416075.76758893
11, 7052.89019331, 9928.49480119, 6760.49886099, 6700.89242777, 0.00000000, 0.00000000, 1827000013.95524120, 0.00000000, 416075.76758893
12, 7052.89019331, 9928.49480119, 6760.49886099, 6700.89242777, 0.00000000, 0.00000000, 1827000013.95524120, 0.00000000, 416075.76758893
13, 7052.89019331, 6760.49886099, 0.00000000, 6700.89242777, 0.00000000, 6384.09443879, 1827000013.95524120, 101976.26598032, 0.00000000
14, 5994.90849443, 0.00000000, 0.00000000, 5642.91035648, 0.00000000, 5326.11203232, 1822500004.84215930, 91023.94077525, 0.00000000
15, 5994.90849443, 0.00000000, 0.00000000, 5642.91035648, 0.00000000, 5326.11203232, 1822500004.84215930, 91023.94077525, 0.00000000
16, 7456.97800590, 7449.52764027, 7766.32717056, 7773.77565500, 8125.77304289, 0.00000000, 2388874853.16903110, 0.00000000, 78026.80334589
17, 7456.97800590, 7449.52764027, 7766.32717056, 7773.77565500, 8125.77304289, 0.00000000, 2388874853.16903110, 0.00000000, 78026.80334589
18, 7456.97800590, 7449.52764027, 7766.32717056, 7773.77565500, 8125.77304289, 0.00000000, 2388874853.16903110, 0.00000000, 78026.80334589
